KO	KO_description
K00569	TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]
K00570	pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
K00571	E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00573	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
K00574	cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
K00577	mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]
K00587	ICMT, STE14; protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]
K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]
K00594	xyoA, aldO; alditol oxidase [EC:1.1.3.41]
K00595	cobL-cbiET; precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]
K00596	E4.1.1.64; 2,2-dialkylglycine decarboxylase (pyruvate) [EC:4.1.1.64]
K00598	tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
K00603	fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]
K00604	MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]
K00605	gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]
K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
K00610	pyrI; aspartate carbamoyltransferase regulatory subunit
K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]
K00612	nodU; carbamoyltransferase [EC:2.1.3.-]
K00613	GATM; glycine amidinotransferase [EC:2.1.4.1]
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]
K00619	argA; amino-acid N-acetyltransferase [EC:2.3.1.1]
K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
K00621	GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
K00625	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]
K00626	ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00632	fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]
K00634	ptb; phosphate butyryltransferase [EC:2.3.1.19]
K00635	tgs, wax-dgat; diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]
K00638	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
K00639	kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]
K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]
K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]
K00645	fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
K00646	pksF; malonyl-ACP decarboxylase
K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K00651	metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]
K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K00656	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]
K00657	speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
K00662	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]
K00663	aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
K00666	K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]
K00672	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
K00673	astA; arginine N-succinyltransferase [EC:2.3.1.109]
K00674	dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
K00675	nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K00682	GGCT; gamma-glutamylcyclotransferase [EC:4.3.2.9]
K00683	QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
K00684	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K00688	PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]
K00690	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
K00692	sacB; levansucrase [EC:2.4.1.10]
K00693	GYS; glycogen synthase [EC:2.4.1.11]
K00694	bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00695	SUS; sucrose synthase [EC:2.4.1.13]
K00696	E2.4.1.14; sucrose-phosphate synthase [EC:2.4.1.14]
K00697	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K00698	CHS1; chitin synthase [EC:2.4.1.16]
K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
K00701	cgt; cyclomaltodextrin glucanotransferase [EC:2.4.1.19]
K00702	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]
K00703	glgA; starch synthase [EC:2.4.1.21]
K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
K00712	tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]
K00720	UGCG; ceramide glucosyltransferase [EC:2.4.1.80]
K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
K00728	POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
K00729	ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
K00737	MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]
K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
K00750	GYG1, GYG2; glycogenin [EC:2.4.1.186]
K00752	hasA; hyaluronan synthase [EC:2.4.1.212]
K00754	bshA; L-malate glycosyltransferase [EC:2.4.1.-]
K00756	pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
K00757	udp, UPP; uridine phosphorylase [EC:2.4.2.3]
K00758	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]
K00759	APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]
K00760	hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
K00761	upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]
K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
K00763	pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
K00764	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]
K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K00767	nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K00768	E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
K00769	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
K00772	mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
K00773	tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K00782	lldG; L-lactate dehydrogenase complex protein LldG
K00783	rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
K00784	rnz; ribonuclease Z [EC:3.1.26.11]
K00788	thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00791	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]
K00793	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]
K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
K00795	ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00796	folP; dihydropteroate synthase [EC:2.5.1.15]
K00797	speE, SRM, SPE3; spermidine synthase [EC:2.5.1.16]
K00798	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]
K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
K00801	FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
K00803	AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]
K00805	hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]
K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
K00808	hss; homospermidine synthase [EC:2.5.1.44]
K00809	DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]
K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]
K00816	CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]
K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00818	E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]
K00819	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]
K00820	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
K00822	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]
K00823	puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]
K00824	dat; D-alanine transaminase [EC:2.6.1.21]
K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]
K00827	AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]
K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
K00833	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K00835	avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]
K00836	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
K00837	ISS1, VAS1; aromatic aminotransferase [EC:2.6.1.-]
K00839	pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]
K00845	glk; glucokinase [EC:2.7.1.2]
K00847	E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]
K00848	rhaB; rhamnulokinase [EC:2.7.1.5]
K00849	galK; galactokinase [EC:2.7.1.6]
K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
K00851	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]
K00852	rbsK, RBKS; ribokinase [EC:2.7.1.15]
K00853	araB; L-ribulokinase [EC:2.7.1.16]
K00854	xylB, XYLB; xylulokinase [EC:2.7.1.17]
K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]
K00856	E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]
K00857	tdk, TK; thymidine kinase [EC:2.7.1.21]
K00858	ppnK, NADK; NAD+ kinase [EC:2.7.1.23]
K00859	coaE; dephospho-CoA kinase [EC:2.7.1.24]
K00860	cysC; adenylylsulfate kinase [EC:2.7.1.25]
K00862	eryA; erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]
K00863	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
K00864	glpK, GK; glycerol kinase [EC:2.7.1.30]
K00865	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]
K00867	coaA; type I pantothenate kinase [EC:2.7.1.33]
K00868	pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]
K00869	E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]
K00872	thrB; homoserine kinase [EC:2.7.1.39]
K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]
K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
K00875	rbtK; D-ribulokinase [EC:2.7.1.47]
K00876	udk, UCK; uridine kinase [EC:2.7.1.48]
K00878	thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]
K00880	lyxK; L-xylulokinase [EC:2.7.1.53]
K00882	fruK; 1-phosphofructokinase [EC:2.7.1.56]
K00883	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]
K00885	nanK; N-acylmannosamine kinase [EC:2.7.1.60]
K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]
K00887	dgkA; undecaprenol kinase [EC:2.7.1.66]
K00891	aroK, aroL; shikimate kinase [EC:2.7.1.71]
K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
K00897	aphA; kanamycin kinase [EC:2.7.1.95]
K00899	mtnK; 5-methylthioribose kinase [EC:2.7.1.100]
K00903	epsB; protein-tyrosine kinase [EC:2.7.10.2]
K00906	aceK; isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
K00912	lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
K00917	lacC; tagatose 6-phosphate kinase [EC:2.7.1.144]
K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
K00919	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
K00925	ackA; acetate kinase [EC:2.7.2.1]
K00926	arcC; carbamate kinase [EC:2.7.2.2]
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
K00928	lysC; aspartate kinase [EC:2.7.2.4]
K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
K00931	proB; glutamate 5-kinase [EC:2.7.2.11]
K00936	pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]
K00937	ppk; polyphosphate kinase [EC:2.7.4.1]
K00939	adk, AK; adenylate kinase [EC:2.7.4.3]
K00940	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]
K00941	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
K00942	E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]
K00943	tmk, DTYMK; dTMP kinase [EC:2.7.4.9]
K00945	cmk; CMP/dCMP kinase [EC:2.7.4.25]
K00946	thiL; thiamine-monophosphate kinase [EC:2.7.4.16]
K00947	mosAB; molybdenum storage protein
K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K00949	thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]
K00950	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K00952	nadM; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]
K00953	FLAD1; FAD synthetase [EC:2.7.7.2]
K00954	E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
K00956	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00958	sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]
K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K00965	galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
K00966	GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00969	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K00970	pcnB; poly(A) polymerase [EC:2.7.7.19]
K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00972	UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]
K00973	rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
K00978	rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K00979	kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K00980	tagD; glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]
K00981	E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]
K00982	glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
K00986	ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]
K00988	APA1_2; sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]
K00989	rph; ribonuclease PH [EC:2.7.7.56]
K00990	glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]
K00991	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K00992	murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
K00995	pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
K00996	rfbP; undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]
K00997	acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K01000	mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K01002	mdoB; phosphoglycerol transferase [EC:2.7.8.20]
K01003	bcpA; oxaloacetate decarboxylase [EC:4.1.1.112]
K01004	pcs; phosphatidylcholine synthase [EC:2.7.8.24]
K01005	tagT_U_V; polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-]
K01006	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]
K01007	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]
K01008	selD, SEPHS; selenide, water dikinase [EC:2.7.9.3]
K01009	E2.7.7.103; L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]
K01011	TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
K01012	bioB; biotin synthase [EC:2.8.1.6]
K01021	TPST; protein-tyrosine sulfotransferase [EC:2.8.2.20]
K01023	assT; arylsulfate sulfotransferase [EC:2.8.2.22]
K01026	pct; propionate CoA-transferase [EC:2.8.3.1]
K01027	OXCT; 3-oxoacid CoA-transferase [EC:2.8.3.5]
K01028	E2.8.3.5A, scoA; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
K01029	E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
K01031	pcaI; 3-oxoadipate CoA-transferase, alpha subunit [EC:2.8.3.6]
K01032	pcaJ; 3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]
K01034	atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
K01039	gctA; glutaconate CoA-transferase, subunit A [EC:2.8.3.12]
K01040	gctB; glutaconate CoA-transferase, subunit B [EC:2.8.3.12]
K01042	selA; L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K01045	PON; arylesterase / paraoxonase [EC:3.1.1.2 3.1.8.1]
K01046	lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]
K01047	PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]
K01048	pldB; lysophospholipase [EC:3.1.1.5]
K01051	E3.1.1.11; pectinesterase [EC:3.1.1.11]
K01053	gnl, RGN; gluconolactonase [EC:3.1.1.17]
K01054	MGLL; acylglycerol lipase [EC:3.1.1.23]
K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
K01056	PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
K01057	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]
K01058	pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]
K01060	cah; cephalosporin-C deacetylase [EC:3.1.1.41]
K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
K01066	aes; acetyl esterase [EC:3.1.1.-]
K01068	ACOT1_2_4; acyl-coenzyme A thioesterase 1/2/4 [EC:3.1.2.2]
K01069	gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
K01070	frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]
K01071	MCH; medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]
K01075	E3.1.2.23; 4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]
K01076	ABHD17; abhydrolase domain-containing protein 17 [EC:3.1.2.22]
K01077	E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]
K01079	serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]
K01081	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
K01082	cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]
K01083	E3.1.3.8; 3-phytase [EC:3.1.3.8]
K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
K01087	otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]
K01089	hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]
K01091	gph; phosphoglycolate phosphatase [EC:3.1.3.18]
K01092	E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K01093	appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]
K01095	pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27]
K01101	E3.1.3.41; 4-nitrophenyl phosphatase [EC:3.1.3.41]
K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]
K01113	phoD; alkaline phosphatase D [EC:3.1.3.1]
K01114	plc; phospholipase C [EC:3.1.4.3]
K01115	PLD1_2; phospholipase D1/2 [EC:3.1.4.4]
K01118	acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]
K01119	cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]
K01126	E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
K01129	dgt; dGTPase [EC:3.1.5.1]
K01130	E3.1.6.1; arylsulfatase [EC:3.1.6.1]
K01133	betC; choline-sulfatase [EC:3.1.6.6]
K01134	ARSA; arylsulfatase A [EC:3.1.6.8]
K01135	ARSB; arylsulfatase B [EC:3.1.6.12]
K01136	IDS; iduronate 2-sulfatase [EC:3.1.6.13]
K01137	GNS; N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]
K01139	spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]
K01141	sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]
K01142	E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]
K01144	E3.1.11.5; exodeoxyribonuclease V [EC:3.1.11.5]
K01147	rnb; exoribonuclease II [EC:3.1.13.1]
K01150	endA; deoxyribonuclease I [EC:3.1.21.1]
K01151	nfo; deoxyribonuclease IV [EC:3.1.21.2]
K01153	hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]
K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]
K01155	E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]
K01156	res; type III restriction enzyme [EC:3.1.21.5]
K01158	DNASE2; deoxyribonuclease II [EC:3.1.22.1]
K01159	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
K01160	rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]
K01163	K01163; uncharacterized protein
K01166	RNASET2; ribonuclease T2 [EC:4.6.1.19]
K01167	rnaSA; ribonuclease T1 [EC:4.6.1.24]
K01170	endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]
K01173	ENDOG; endonuclease G, mitochondrial
K01174	nuc; micrococcal nuclease [EC:3.1.31.1]
K01175	ybfF; esterase [EC:3.1.-.-]
K01176	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
K01178	SGA1; glucoamylase [EC:3.2.1.3]
K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]
K01180	E3.2.1.6; endo-1,3(4)-beta-glucanase [EC:3.2.1.6]
K01181	E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]
K01182	IMA, malL; oligo-1,6-glucosidase [EC:3.2.1.10]
K01183	E3.2.1.14; chitinase [EC:3.2.1.14]
K01185	E3.2.1.17; lysozyme [EC:3.2.1.17]
K01186	NEU1; sialidase-1 [EC:3.2.1.18]
K01187	malZ; alpha-glucosidase [EC:3.2.1.20]
K01190	lacZ; beta-galactosidase [EC:3.2.1.23]
K01191	MAN2C1; alpha-mannosidase [EC:3.2.1.24]
K01192	E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]
K01193	INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]
K01194	TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]
